Supplier Name,Supplier Details,Supplier Email,Supplier Telephone,Supplier Contact Name
AccuRx,"AccuRx makes communication for healthcare professionals and patients easier. AccuRx is a platform that brings together all healthcare communication around the patient. Over 7,600 GP practices (98%) and 35 NHS Trusts (15%) have adopted AccuRx for patient messaging, video consultations and communication between healthcare organisations.",sharan@accurx.com,02070992279,Sharan Nichani
Accuvio Sustainability Software,"Accuvio are leading developers of Sustainability Reporting Software. Using our software companies can track their energy and carbon emissions and produce reports for Mandatory Carbon Reporting, Non -Financial Reporting, CDP, ESOS, SECR, DJSI, SASB...",sales@accuvio.com,0203 468 2877,Susan Butler Geary
ACF Technologies (UK) Limited,"ACF Technologies helps organisations improve customer experience using appointment scheduling, queue management, event management, wayfinding and machine learning technologies. By integrating these technologies into existing business systems, we help organisations gain real-time insights into customer journeys, then use this information to improve customer experiences.",uksales@acftechnologies.com,0333 600 8090,Sales
Achilles Information Limited,"Achilles uses cloud-based technology to provide validated data and insightful analytics to enable buyers  to identify and manage risk and suppliers while increasing compliance and minimising costs for the network as a whole.
 It also provides training and consultancy on EU procurement regulations and specialist Greenhouse Gas reporting",Michael.Tournier@achilles.com,07934675856,Michael Tournier
ACIN LIMITED,,philip.carr@acin.com,02037288585,Philip Carr
ACKNOWLEDGEMENT LIMITED,"Acknowledgement create user centric software,
content & communications. We offer our own SaaS products and also bespoke design, development, content and operational services for clients. We are experts in the design and build of self service platforms and systems.",tom@acknowledgement.co.uk,02076556542,Tom Jordan
A CLOUD GURU LTD,"A Cloud Guru - the worlds only 100% cloud online skills provider - enables users access to an online SaaS platform containing the most up-to-date hands-on Cloud training & certification in AWS, Google Cloud & Azure. 
100 cert courses + 1,500 hands-on labs + Linux + Devops + Security",gary.hall@acloud.guru,07990 515025,Gary Hall
Acquia Inc,"Acquia is a software company that also provides professional services related to the Drupal WCMS. Through our PaaS and SaaS offerings, as well as our professional services, our goal is to maximize the potential for public sector organisation’s using Drupal.",ollie.carter@acquia.com,+44 (0)7428 169435,Ollie Carter
Acrobatic Ltd.,,andrea.melegaro@acrobatic.net,+447887742418,Andrea Melegaro
Acrotrend,"Acrotrend is a customer analytics consultancy that specialises in getting you from data, to insight, to action. Our solutions combine the power of industry leading technology, machine learning & data science to generate better business outcomes. We work with you to activate the value that lies dormant in your data.",sandeep.mendiratta@acrotrend.com,02081233208,Sandeep Mendiratta
ACS Office Solutions,"A leading UK based provider of IT infrastructure solutions to a broad range of clients both in the public and private sector. Specialising in consultancy, deployment and support services with a particular focus on Cloud based infrastructure based on  VMware vCloud Director, Microsoft Azure, Amazon Web Services & Office365 platforms.",publicsector@acs365.co.uk,01604 704000,Kerry O'Halloran
ACT,"ACT operates enterprise class digital transaction systems in retail, transport, tourism and payments. Our end-to-end SaaS solutions improve the customer journey and helps our clients find new revenue streams, address operational challenges and join up business processes.  Our travel management systems service over 35 public authorities in the UK.",chris.jefferies@weareact.com,01249 751 200,Chris Jefferies
Actica Consulting,"Actica is an independent company that provides client side support to public sector organisations with the secure and effective use of ICT. We work in partnership with our clients, providing sector specific knowledge of the governance, technical, procurement and project delivery challenges encountered when delivering the benefits of the Cloud.",cloud@actica.co.uk,+44 (0) 1483484090,Michael Murphy
ActionPoint Technology Services,,gmccann@actionpointtech.co.uk,02892528528,Gerard McCann
ACTISOFT TECHNOLOGY LIMITED,,bill.slaven@actisofttechnology.com,0203 931 0199,Bill Slaven
Active Informatics Ltd,"Active Informatics brings data to life.  We provide solutions that always deliver a single view of your learners, citizens or patients.  Our applications help organisations find hidden insights to make evidence based decisions that make communities safer to live, learn and work in.",info@activeinformatics.com,01256 356 629,Peggy Williamson
ActiveOps Limited,"ActiveOps is a leading provider of cloud-based enterprise software for large scale operations management solutions to banks, insurance companies and BPOs.",jane.haywood@activeops.com,07872014947,Jane Haywood
Activinsights,Activinsights provides professional lifestyle insight about human activities and behaviour using connected devices within a digital service. Our technologies and data analysis approaches are supported by over 300 peer-reviewed scientific papers. Our products and services are manufactured and hosted in the UK.,joss@activinsights.com,01480862082,Joss Langford
Actuality One Limited,"Actuality One is a data consultancy based in London, specialising in the delivery of complex projects in the data space, with a focus on data system design, solution build services, data analytics support and managed services. 

Data System Design

Data Analytics Support

Managed Services

For more information go to https://actuality.one",chamilton@actuality.one,+447831353020,Craig Hamilton
Actu@te Ltd,"Experienced Consultancy in Oracle Database, Fusion Middleware and Oracle Cloud Services",zafar_farhan@hotmail.com,07976722295,Farhan Zafar
ACUBED IT SOLUTIONS LIMITED,,enquiries@acubed.it,07891576843,Ashish Sharma
Acuity Applied Limited,,info@acuityapplied.com,07773336668,Rahana Siraj
Acuity Business Solutions,"A well-established independent SME providing public sector advisory and support services.   By utilising our wealth of experience of industry best practice, coupled with our professional and common sense approach, we are able to listen to your problems and identify appropriate solutions to deliver the results you need.",sarah.thomas@acuitynet.co.uk,01392826035,Sarah Thomas
ACUITY RISK MANAGEMENT LIMITED,"Acuity Risk Management helps businesses worldwide effectively manage, prioritize and report on their risks to inform strategic decision-making and build long-term resilience. It’s powerful STREAM platform provides rapid time to value to reassure stakeholders that risks and under control and compliance is maintained with increasingly complex standards and regulations.",jonny.hay@acuityrm.com,0778820 5750,Jonny Hay
Acuma Solutions Limited,"Acuma has unrivalled expertise in Business Intelligence, Analytics, Data warehouse, Information Management, Cloud enablement and migration along with support, training, web development and testing. Acuma’s value proposition encompass strategic consultancy, micro-services, program management for digital transformation in the discovery, alpha, beta and live phases of Digital by Default standards.",bid_team@acuma.co.uk,0161 241 4111,Jonathan Eeley
AD7 Consulting Limited,"AD7 has proven experience delivering complex cloud migration and transformation projects. Our in-depth knowledge of the latest migration tools and coexistence solutions, along with a deep expertise of all messaging platforms, including IBM Domino, Lotus Notes, Exchange, and Office 365 ensures you experience the smoothest email transformation.",adam.tarver@ad7consulting.co.uk,01827 830149,Adam Tarver
Adam HTT Limited,"adam develop innovative technology and managed services that help local government, the NHS, and individuals. We are driven by good government principles and social values. As a UK organisation we value our local communities through understanding the local supply and provider base.",sales@useadam.co.uk,0800 988 2326,Brogan Archer
adappt,"Founded in 2011, Adappt is technology agnostic, with a wealth of expertise, knowledge and experience having developed numerous software solutions, mobile applications and websites. Ranging from multi-million pound systems and solutions for leading corporate organizations, NGOs, Councils  to SME's, let Adappt's capabilities delivery your next project perfectly.",david.l@adappt.ai,07855389009,"David Larner, Chief Executive Officer"
Adapt2Digital,"At Adapt2Digital, we are passionate about ""Digital Age Leadership"" and understand that no two leaders are the same.  Experience, mindset, behaviour, expectation - these all accumulate into who you are today and how you lead today.  A ""Digital Age Leader"" is a modern leader.",gary.ross@adapt2digital.com,+447788706897,Gary Ross
ADAPTA CONSULTING LLP,,help@adaptaconsulting.co.uk,020 7250 4788,Paul Sypko
Adaptavist.com Limited,"Established in 2005, Adaptavist is a London-headquartered IT services company providing premium professional services, support, hosting and licensed products to a wide range of national and international clients including over half of the Fortune 500 companies. In fact, Adaptavist received the Atlassian President’s Award for Technical Excellence in October 2014.",rking@adaptavist.com,+44 (0)7734375823,Russell King
Adarga Ltd,"Adarga provides organisations with powerful AI analytics technology to analyse disparate data, including unstructured information, so you can discover the deep insights within all your data that drive faster, better decisions.",hello@adarga.ai,0800 8611 087,Louise West
Adarma Ltd,"We are Adarma, one of the largest independent security services companies in the UK. Founded and run by experienced senior security leaders, we have the experience, proven track record, and recognition as industry specialists to ensure our cyber security solutions are tailored to your needs.",enquiries@adarma.com,0333 0058535,David Calder
Adatis,"Adatis is a trusted Microsoft business intelligence partner that designs and delivers enterprise data management and decision making capabilities. 

We bring innovation and insight to help our household name clients transform large volumes of data into meaningful information that lets them act smarter, move quicker and grow faster.",gcloud@adatis.co.uk,1252267777,Martin Philpott
Addooco,,pw@addooco.it,01246 887887,Paul Walters
Addresscloud Ltd,Addresscloud provides software services to locate and describe addresses with rooftop level accuracy using high quality data from our market-leading partners.  Our powerful APIs and intuitive applications help organisations understand more about their customers to reduce risk and make better decisions.,sales@addresscloud.com,+44 1793 238930,Mark Varley
Adetiq Limited,"Adetiq, the UK based industry expert in highly secure document and data processing with over 50 years of experience.  Adetiq offers complete end-to-end process outsourcing solutions, combining the latest best-of-breed technologies such as OCR, RPA, and AI allied with knowledge-based human interaction to deliver improvement in business performance.",accounts@adetiq.co.uk,01273 202006,Adetiq Marketing
Adjutant Software Ltd,,nicola.cassidy@adjutantsoftware.com,07947688435,Nicola Cassidy
Adlib Publishing Systems Inc,"Adlib is a scalable platform that helps customers discover, cleanse, classify and extract data from the most complex document types. It enables businesses to create an end-to-end digital strategy, where unstructured data fuels insights and process automation to deliver maximum value. Feeding virtually any system - CLM, BI, Content Services...",SalesEMEA@adlibsoftware.com,1-905-631-2875,Glyn Mcnulty or Paul Broerse
ADL Smartcare Limited,"We are committed to transforming the lives of the ageing population and enabling key service providers to improve their offers. ADL Smartcare has studied age-related functional decline using powerful insight from data, research, knowledge and intelligence, combined with studies with some of the world's leading academic institutes.",gcloud@adlsmartcare.com,0114 2866222,Stephen Miller
ADM Computing,"ADM Computing are a Microsoft Gold Partner and Cyber Essentials Plus, ISO: 9001, ISO:14001, ISO:27001 certified cloud solution provider. Established in 1984. ADM have been leading the way for customer service in the South-East & London for over 38 years.",kailas.bryant@adm-computing.co.uk,01227 473503,Kailas Bryant - Communications Manager
Admincontrol AS,"Admincontrol is a leading Board Portal and Virtual Data Room provider. Working to the highest level of security and with a tablet based intuitive user interface, our services are utilised by private and public sector organisations to enhance the the flow of sensitive information across Boards and Management worldwide.",dreilly@admincontrol.com,+44 (0) 7437 216579,David Reilly
ADMINCONTROL UK LTD,"G Cloud and Specialist Services.

Visma Electronic Ship Certificates and Survey Solution, Digital Signature Services",rene.stampe.lund@visma.com,004541914355,René Stampe Lund
Administrate,"Administrate is a cloud delivered, Software-as-a-Service Training Management System (TMS) and Learning Management System (LMS).  Our solution helps training providers (training companies and training departments) manage the entire process of delivering education.  We serve nearly 300 customers spanning 6 continents, and have helped deliver education to over 2 million learners.",jjv@getadministrate.com,+44 (0) 131 460 7350,Jesse Vernon
ADM Interactive,"Our professional and trusted software management services help the customers to take care of all the elements of software services, including but not limited to 24/7 health and uptime monitoring, 24/7 critical incident response, security patching, code deployments and other DevOps related work.",salesuk@admcloudtech.com,+00447894202155,Kevin London
AdRoc Group,"AdRoc Consulting specialise in providing multi-disciplinary agile teams and managed services to the Public Sector. 

Our experts adhere to the GDS Service design standards, have successfully passed multiple service assessments, delivering outcomes since 2016. 

We can provide our services via GCLOUD or DOS frameworks.",REVANS@ADROCGROUP.COM,07711350121,RHYS EVANS
ADVALUS LIMITED,"Advalus is a SME advisory firm, founded in 2003, that provides financial, technical, 3Ps, data security, and commercial experts on complex government ICT projects. The firm is a national advisor and Government framework supplier to public sector clients on CCS's MCF2, DOS, G Cloud etc",rob.francis@advalus.com,07739 742802,Rob Francis
Advance Change Ltd,Actus Software was founded in 2009 and provides best in class HR Software to clients across public and private sector. Actus is the trading name of Advance Change Ltd and provides aligned change consultancy and training along with outstanding customer service which ensures maximum value and ROI.,info@actus.co.uk,01582 793 053,Lucinda Carney
Advanced 365,"Advanced is the UK’s third largest provider of business software and services, providing enterprise and market-focused solutions and services across all industry verticals that allow our customers to reimagine what is possible, innovate and improve the lives of millions of people in the UK.",Bid.Support@oneadvanced.com,0330 343 4000,Bid Management
Advanced Analytics Labs Ltd,We're experts in advanced data analytics and machine learning. Founded in 2017 by Professor Adele Marshall our mission is to empower our customers by making their data a valuable asset. Our ambition is to use our high skill base to develop sophisticated analytics to help you improve your business.,adele@advancedanalytics.io,+447967257285,Adele Marshall
Advanced Business Solutions,"Advanced is an ideal partner for public sector organisations requiring software and services for core business functions such as Finance, HR, Procurement and Business Analytics. We offer easy integration with other specialised front and back office applications, and can also provide outsourced technologies such as Cloud, IaaS and PaaS.",bidmanagementteam@oneadvanced.com,0330 343 8000,Bid Support
Advanced Cyber Solutions,"Advanced Cyber Solutions is a boutique IT security solutions and services specialist with customers in eight countries. Specialising in managed file transfer, information security, email security and privilege access management. Advanced Cyber Solutions is highly regarded for our high levels of customer support and engagement.",chris.payne@advancedcyber.co.uk,+442032903417,Chris Payne
Advanced Digital Innovation (UK) Limited,"ADI is a leader in the field of technology-enabled health and care services. With a unique combination of technical, clinical and health service expertise, we are able to deploy ground-breaking applications with a near-frictionless user experience. 

We are absolutely committed to bringing the digital revolution to the NHS and patients.",info@adi-uk.com,+443303211223,Judith Clarkson
ADVANTEX NETWORK SOLUTIONS LIMITED,,steve.oconnell@advantex.uk.com,03452220666,Stephen O'Connell
Advent IM Ltd,"Advent IM is a specialist provider of independent cyber security consultancy, risk management, red teaming and training services to the UK public sector. Our team of highly experienced qualified CCP Practitioners and Lead Auditors are known for their agile, proportionate, pragmatic and cost effective approach to IA in cloud environments.",julia.mccarron@advent-im.co.uk,0121 559 6699,Julia McCarron
Advice Cloud Ltd,"Advice Cloud are public sector procurement specialists that offer a focused portfolio of G-Cloud-related services. As experienced buyers, we have used the framework to buy services on behalf of  authorities since August 2012. We provide organisations with support for specific parts of the process, or an end-to-end service.",publicsector@advice-cloud.co.uk,0330 124 4224,Chris Farthing
AdviseInc Ltd,We identify significant financial benefits for healthcare organisations by joining their data with our web-based analytics. We combine commercial with clinical expertise and partner your data with market knowledge - providing actionable insight and opportunities to save money. Our applications bring data to life.,info@adviseinc.co.uk,0207 112 9222,Mathew Oram
ADZUNA LIMITED,"Adzuna is a search engine for jobs which lists every job, everywhere.
We provide smarter search options and powerful data about the job market. We offer recruitment software and labour market data of all types to aid government entities and jobseekers - as well as job advertising solutions.",gcloud@adzuna.com,0207 3867355,Doug Monro
AEO Consulting,"AEO Consulting is a UK based independent management consultancy that provides project and programme delivery management expertise across a range of domains including digital, data, technology and continuous improvement.",tonyonoro@aeoconsulting.co.uk,07909047834,Tony Onoro
AEQUOS LIMITED,"Aequos focus is to enable clients to simplify and streamline the adoption of Technology services within Public Sector. We work in partnership with services that are end-user orientated delivering better outcomes for the business. We consult, deliver and provide complex managed services.",gcloud@aequos.co.uk,03458726060,Shabrul Uddin
Aerian Studios Ltd,"Digital Agency creating results-focused, user-centric digital services and products. 
Services cover: user research, UX, web and app development, services development, systems, DevOps.
We support clients through Discovery, Alpha, Beta, and Live phases of digital services. 
Experienced and agile accredited team of Agile Developers, Agile Scrum Masters and Agile Product Owners.",info@aerian.com,0345 4086009,Geoff Wells
AEROGILITY LIMITED,Aerogility is a powerful Software as a Service solution that leverages Safe and Trusted AI techniques to rapidly predict and optimise an organisations response to a range of complex real-world scenarios.,gcloud@aerogility.com,07957 550370,Nigel Yard
AES Group,"AES Group is an established independent information systems and solutions provider operating in defence, healthcare and commercial markets around the world. Our reputation has been built on over three decades of successfully managing and delivering advanced complex information systems and engineering services utilising our innovative Artificial Intelligence (AI) solutions.",sales@aesgrp.com,+44 (0) 1332 383521,Rebecca Edwards
AETHEREAL CONSULTING LTD,,tim.cunnell@gmail.com,07796172470,Tim Cunnell
Aetopia,"Aetopia provides Digital Asset Management (DAM) software and consulting services. We deliver tailored DAM solutions for all kinds of applications including Police Evidence Management/DEMS, Body-Worn Video, Digital Interview Recorders, Digital Collections, Cultural, Creative and Scientific Archives.",tenders@aetopia.com,02890998767,Stephen McAreavey
Affinitext (UK) Limited,"Affinitext has developed the Intelligent Document Format (‘IDF’): a simple, disruptive technology which dramatically improves the understanding and management of documents.  We turn complex contracts into a powerful tool for successful project delivery.",graham.thomson@affinitext.com,+44 (0) 2036674866,Graham Thomson
Affinity Digital (Technology) Ltd,"Affinity, founded 2004, remains ‘technology-agnostic’, working with clients in some of the most exciting areas of web technology; developing large intranet, extranet platforms/portals and high-performing CMS websites – utilising open-source technology and custom modules. Affinity’s key strength is its partnership approach and proven project management incorporating Agile and Waterfall methodologies",sales@affinity-digital.com,01872 321177,Jonathan Duval
Affinity Works (Access UK Ltd),"Affinity Works supports the public sector in delivering better services and lower costs through greater collaboration and more effective data analysis. We provide tools and expertise that realise a vision of ‘smarter’ shared working in some of the key aspects of service delivery, including Social Care, Public Health and Housing.",Ben.Chance@theaccessgroup.com,07703 890 450,Ben Chance
Affinus Limited,Affinus are a highly skilled Microsoft consultancy offering Enterprise Integration Solutions for BizTalk Server and Azure. Their customers include medium and large enterprise in the private and public sectors. Affinus are unique in having developed the only toolset in the marketplace that can translate BizTalk assets directly to LogicApps.,mark.hunt@affinus.com,07890 990 380,Mark Hunt
AFTER PREMISE LTD,,gcloud@afterpremise.com,07468 565469,Lesley Vanbeck
Agento Digital,Digital agency specialising in intranet and digital workplace solutions for internal communications and engagement. Developers of the GovIntranet WordPress CMS.,luke@agentodigital.com,0203 538 0068,Luke Oatham
Agile Applications Limited,"Agile Applications is a UK company that delivers smart, flexible, intuitive, and cost-effective software for Local Government.  We focus on solutions for Planning and Building Control, Regulatory Services, Waste Management and Recycling.  Inspired by our user community, our software makes it easier for citizens to use your services, anywhere, anytime.",jared.crane@agileapplications.co.uk,0330 100 3675,Jared Crane
AgileAssets Ltd,"AgileAssets  is the leading global provider of integrated infrastructure asset management software solutions and services for public agencies and organisations.

AgileAssets'​ proven solutions enable a systematic process for the complete life cycle management of infrastructure assets, including pavement, facilities, bridges, fleets, utilities, telecom, traffic signals, signs, ITS and more.",jrobertson@agileassets.com,020 3858 7272,James Robertson
Agile Byte Ltd,Agile Byte specialise in providing high quality cloud based services across Government. Under G Cloud we have an extensive track record of implementing successful and unique utility-based cloud service projects using Agile methods. We work closely with our Government partners to deliver real business value and savings.,James.hodgson@agilebyte.co.uk,07973 155968,James Hodgson
Agile Collective Ltd,"Agile Collective is a purpose-driven, worker-owned digital agency specialising in the design, development and support of websites and web applications for public sector organisations, charities, NGOs, and universities. Drupal is our core technology, and we are the lead technical partner for the LocalGov Drupal distribution.",hello@agile.coop,01865 249 070,Ian Bellchambers
AGILE DATA WAREHOUSE SOLUTIONS LTD,Agile Data Warehouse Solutions Ltd provides Data Integration and GDPR Compliance solutions.,as@agiledwh.uk,+448451541445,Andreas Schindler
AGILE HOSPITALITY SOLUTIONS LTD,,conny@events500.com,07860574676,Conny Gilmore
AGILE LEAN SYSTEMS LIMITED,We specialise in providing end to end Software Solutions both on on-premise and in cloud. We have delivered a number of large scale Digital Transformation projects over a number of years.,patelmaulik@yahoo.com,07428415745,Maulik Patel
AGILENT TECHNOLOGIES LDA UK LIMITED,,uk_tenders@agilent.com,0345 7125292,UK Tenders
AGILE PORTFOLIO SOLUTIONS LTD,,christie.cole@agileportfoliosolutions.com,07957386068,Christie Cole
Agile Professional Group,"Agile Professional is a UK based professional services company, helping organisations across the world accelerate their Digital Transformation goals. Our team has extensive experience, providing both technical and strategic delivery expertise to every partnership we form.",sales@agileprofessional.co.uk,07939997392,Sales team
AGILE PROJECT DELIVERY LTD,"We are experts in project and programme management for cloud transformations. We understand organisational needs and communicate clearly. We shape business cases that help you transition to a more effective cloud-based future. We have experience in complex UK implementations. We’ll identify and define your future, and then deliver it, too.",anna@bromleyandsar.com,07863536585,Anna Bromley
Agile & Scrum Development LTD,"A small consultancy specialising in bespoke software using java technologies, with a strong delivery management capability.",keith@agilescrumdevltd.co.uk,07816959772,KEITH HUMPHREYS
